Date,Num1,Num2,Num3,Num4,Joker
2025-07-26,9,15,17,43,16
2025-07-23,13,27,34,37,5
2025-07-20,18,29,35,42,4
2025-07-17,7,21,25,30,13
2025-07-14,37,42,43,45,10
2025-07-11,1,9,12,43,7
2025-07-08,5,17,30,42,14
2025-07-05,11,19,23,32,5
2025-07-02,3,9,17,20,12
2025-06-29,2,8,30,31,9
2025-06-26,1,7,21,29,18
2025-06-23,9,11,13,32,11
2025-06-20,10,15,16,27,10
2025-06-17,3,4,30,40,11
2025-06-14,14,15,25,44,4
2025-06-11,4,17,26,39,14
2025-06-08,2,17,26,41,12
2025-06-05,2,26,38,44,19
2025-06-02,17,18,21,38,11
2025-05-30,8,10,15,44,5
2025-05-27,9,18,22,35,15
2025-05-24,4,6,8,14,4
2025-05-21,17,21,29,41,8
2025-05-18,4,7,9,38,12
2025-05-15,2,9,39,41,14
2025-05-12,6,26,34,39,11
2025-05-09,2,15,21,29,16
2025-05-06,7,11,26,27,7
2025-05-03,9,22,34,41,13
2025-04-30,17,25,26,37,17
2025-04-27,7,17,21,29,19
2025-04-24,6,14,23,27,9
2025-04-21,4,28,36,38,11
2025-04-18,4,19,20,29,18
2025-04-15,8,11,32,38,5
2025-04-12,19,23,27,43,1
2025-04-09,16,23,32,42,3
2025-04-06,23,31,33,37,18
2025-04-03,9,27,41,45,11
2025-03-31,19,22,32,43,20
2025-03-28,1,9,15,27,2
2025-03-25,7,10,30,42,18
2025-03-22,3,5,7,31,18
2025-03-19,21,25,32,39,8
2025-03-16,2,5,14,22,13
2025-03-13,8,27,35,45,5
2025-03-10,22,38,43,44,10
2025-03-07,21,29,31,32,14
2025-03-04,15,20,33,39,5
2025-03-01,3,11,41,43,5
2025-02-26,5,20,29,33,3
2025-02-23,5,16,28,32,18
2025-02-20,32,33,34,38,7
2025-02-17,10,20,26,40,11
2025-02-14,11,14,17,19,5
2025-02-11,18,28,29,44,3
2025-02-08,10,34,43,45,14
2025-02-05,13,16,29,40,20
2025-02-02,3,20,34,42,20
2025-01-30,4,19,26,41,17
2025-01-27,4,14,30,41,13
2025-01-24,4,21,32,33,16
2025-01-21,4,40,41,44,9
2025-01-18,12,13,18,34,12
2025-01-15,12,20,36,37,1
2025-01-12,25,28,36,42,3
2025-01-09,9,20,26,43,14
2025-01-06,7,17,25,32,5
2025-01-03,8,9,14,32,1
2024-12-31,11,19,23,45,15
2024-12-28,15,19,27,37,8
2024-12-25,14,17,27,41,1
2024-12-22,24,30,33,35,8
2024-12-19,4,22,25,42,2
2024-12-16,2,7,14,25,20
2024-12-13,4,7,18,21,8
2024-12-10,1,2,4,24,7
2024-12-07,12,15,25,32,16
